step_ahead_h,RMSE_recursive,RMSE_direct
1,52.765730073595755,51.3020434538466
2,42.77662199914485,41.4960694874587
3,38.89575268639942,44.2176792786175
4,36.53683070181264,40.33578029399999
5,34.17810726076027,37.76123970964296
6,36.556305647930856,35.748434731467675
7,23.98866194903665,24.594069711176243
8,15.20142853070909,17.905066774827638
9,10.320460105672424,11.652494988498491
10,8.37448989885826,8.70055957925068
11,12.980164469732141,11.009998047014967
12,35.131167061995676,29.590689336124385
13,98.0864169111969,91.50166335449673
14,148.98290470870936,148.4394127671096
15,66.70519305078253,70.96465330808773
16,55.729715931878985,55.46229264068883
17,64.00351885451433,56.829681219000946
18,91.33559616683013,89.25260068324307
19,90.30901848110774,91.56400726409701
20,85.13739286569803,87.39751385939272
21,95.018549620099,100.46151993892545
22,91.13700256361734,96.60641575203731
23,126.47864069157121,124.10210238224134
24,119.44431020827706,128.77485346296027
