week_range,n_hours,RMSE_onestep,RMSE_recursive
day 0-6,168,38.500987991382935,54.086757980872584
day 7-13,168,48.24614361956183,91.45147769446542
day 14-20,168,48.09258029808062,81.37382903813055
day 21-27,168,49.30372527324098,84.10224796886058
day 28-34,168,61.68910654810363,114.52563022072513
day 35-41,168,47.14054098593793,99.37683100203267
day 42-48,168,48.95310327148707,112.2933991860927
day 49-55,168,54.50408233291913,110.36455257217727
day 56-62,168,56.132748487739555,115.71080586056608
day 63-69,168,63.91605144146581,136.66556322803572
day 70-76,168,60.783393446257364,144.50818659971745
day 77-83,168,57.90457904601174,124.09253212252955
day 84-90,168,44.104584021256976,108.55597545621099
day 91-97,168,45.4599456528181,125.79756705320543
day 98-104,168,41.0796087275929,119.77592245227831
day 105-111,168,48.48056560260098,93.2252756937409
day 112-118,168,48.05795988434507,135.8697174461803
day 119-125,168,40.42036131539475,125.47032806698206
day 126-132,168,37.25411400547794,118.6681257326801
day 133-139,168,31.94468700928152,71.60148618223829
day 140-146,149,29.787158130421354,48.56803149521276
